year,team_code,team_name,spring_G,spring_W,spring_wpct,spring_rs_pg,spring_ra_pg,spring_rd_pg,spring_pyth,reg10_G,reg10_W,reg10_wpct,reg10_rs_pg,reg10_ra_pg,reg10_rd_pg,reg10_pyth,reg20_G,reg20_W,reg20_wpct,reg20_rs_pg,reg20_ra_pg,reg20_rd_pg,reg20_pyth,regfull_G,regfull_W,regfull_wpct,regfull_rs_pg,regfull_ra_pg,regfull_rd_pg,regfull_pyth
2024,1001,삼성,10,4.0,0.4,2.9,4.3,-1.4,0.32720696991470827,10,2.5,0.25,4.0,7.1,-3.1,0.25921458285336624,20,9.5,0.475,5.15,5.65,-0.5,0.45770986549975917,144,79.0,0.5486111111111112,5.347222222222222,4.993055555555555,0.3541666666666667,0.5313110637113505
2024,2002,KIA,10,4.0,0.4,5.4,5.0,0.4,0.5351515912839622,10,8.0,0.8,5.2,3.7,1.5,0.6508542388311773,20,15.0,0.75,5.9,4.25,1.65,0.6457251817650886,144,88.0,0.6111111111111112,5.958333333333333,5.270833333333333,0.6875,0.5558564482609933
2024,3001,롯데,8,3.0,0.375,4.25,4.625,-0.375,0.4613920016015984,10,2.0,0.2,3.1,4.9,-1.8,0.3019910463155535,20,4.0,0.2,3.55,5.75,-2.2,0.2926555099599688,144,68.0,0.4722222222222222,5.569444444444445,5.493055555555555,0.0763888888888889,0.5063180315461205
2024,5002,LG,8,6.0,0.75,5.625,2.75,2.875,0.7874436472771164,10,5.5,0.55,5.6,3.9,1.7,0.6597265297313545,20,9.5,0.475,5.7,5.0,0.7,0.5596598569418073,144,77.0,0.5347222222222222,5.611111111111111,5.055555555555555,0.5555555555555556,0.5475552339688728
2024,6002,두산,9,8.5,0.9444444444444444,5.777777777777778,3.2222222222222223,2.5555555555555554,0.7443352716712692,10,4.0,0.4,5.7,5.9,-0.2,0.4842278089355581,20,9.0,0.45,4.85,4.95,-0.1,0.49066402642535906,144,75.0,0.5208333333333334,5.479166666666667,5.194444444444445,0.2847222222222222,0.5243943460888915
2024,7002,한화,10,6.0,0.6,6.2,4.0,2.2,0.6904035322895817,10,8.0,0.8,6.0,3.5,2.5,0.7283690664840394,20,10.0,0.5,5.4,4.85,0.55,0.5489871131743781,144,67.0,0.4652777777777778,5.173611111111111,5.416666666666667,-0.24305555555555555,0.4790086574465919
2024,9002,SSG,10,3.0,0.3,4.0,5.9,-1.9,0.3293239931617677,10,7.0,0.7,5.6,5.0,0.6,0.5516628326285733,20,12.0,0.6,5.15,5.7,-0.55,0.453710652050137,144,73.0,0.5069444444444444,5.25,5.652777777777778,-0.4027777777777778,0.46623353594680295
2024,10001,키움,8,1.0,0.125,4.0,7.75,-3.75,0.229637496840964,10,6.0,0.6,6.4,5.0,1.4,0.6110561685059698,20,12.0,0.6,5.8,4.65,1.15,0.599747462048045,144,58.0,0.4027777777777778,4.666666666666667,5.527777777777778,-0.8611111111111112,0.42314067424700325
2024,11001,NC,10,6.0,0.6,5.4,4.9,0.5,0.5443356657063692,10,6.0,0.6,5.4,4.4,1.0,0.5926119852101311,20,13.0,0.65,5.9,4.4,1.5,0.6310738706379195,144,62.0,0.4305555555555556,5.368055555555555,5.5625,-0.19444444444444445,0.48372703074909024
2024,12001,KT,9,4.5,0.5,4.444444444444445,5.666666666666667,-1.2222222222222223,0.39064745055977884,10,2.0,0.2,5.2,7.9,-2.7,0.31749374705648087,20,5.0,0.25,5.3,7.5,-2.2,0.34629412176397795,144,73.0,0.5069444444444444,5.326388888888889,5.583333333333333,-0.2569444444444444,0.47845938723766324
